"Measurement" "Activity" "Subject" "Mean"
"fBodyAccelerationSignal-mean()-X" "LAYING" 1 -0.9390990524
"fBodyAccelerationSignal-mean()-X" "LAYING" 2 -0.976725059791667
"fBodyAccelerationSignal-mean()-X" "LAYING" 3 -0.980665609032258
"fBodyAccelerationSignal-mean()-X" "LAYING" 4 -0.958802077592593
"fBodyAccelerationSignal-mean()-X" "LAYING" 5 -0.968741678461538
"fBodyAccelerationSignal-mean()-X" "LAYING" 6 -0.939114254210526
"fBodyAccelerationSignal-mean()-X" "LAYING" 7 -0.953424245576923
"fBodyAccelerationSignal-mean()-X" "LAYING" 8 -0.953538563888889
"fBodyAccelerationSignal-mean()-X" "LAYING" 9 -0.946865494
"fBodyAccelerationSignal-mean()-X" "LAYING" 10 -0.96918420862069
"fBodyAccelerationSignal-mean()-X" "LAYING" 11 -0.983801365614035
"fBodyAccelerationSignal-mean()-X" "LAYING" 12 -0.956248487666667
"fBodyAccelerationSignal-mean()-X" "LAYING" 13 -0.974716920483871
"fBodyAccelerationSignal-mean()-X" "LAYING" 14 -0.933936178235294
"fBodyAccelerationSignal-mean()-X" "LAYING" 15 -0.974016176527778
"fBodyAccelerationSignal-mean()-X" "LAYING" 16 -0.980213187428571
"fBodyAccelerationSignal-mean()-X" "LAYING" 17 -0.974359280140845
"fBodyAccelerationSignal-mean()-X" "LAYING" 18 -0.985179972153846
"fBodyAccelerationSignal-mean()-X" "LAYING" 19 -0.97453373
"fBodyAccelerationSignal-mean()-X" "LAYING" 20 -0.965728781617647
"fBodyAccelerationSignal-mean()-X" "LAYING" 21 -0.968234375555556
"fBodyAccelerationSignal-mean()-X" "LAYING" 22 -0.953758542777778
"fBodyAccelerationSignal-mean()-X" "LAYING" 23 -0.970037238333333
"fBodyAccelerationSignal-mean()-X" "LAYING" 24 -0.975893687083333
"fBodyAccelerationSignal-mean()-X" "LAYING" 25 -0.929147371232877
"fBodyAccelerationSignal-mean()-X" "LAYING" 26 -0.973262289210526
"fBodyAccelerationSignal-mean()-X" "LAYING" 27 -0.980631846891892
"fBodyAccelerationSignal-mean()-X" "LAYING" 28 -0.9739308675
"fBodyAccelerationSignal-mean()-X" "LAYING" 29 -0.986626999275362
"fBodyAccelerationSignal-mean()-X" "LAYING" 30 -0.974789999285714
"fBodyAccelerationSignal-mean()-X" "SITTING" 1 -0.979641238723404
"fBodyAccelerationSignal-mean()-X" "SITTING" 2 -0.985803840652174
"fBodyAccelerationSignal-mean()-X" "SITTING" 3 -0.970154440961538
"fBodyAccelerationSignal-mean()-X" "SITTING" 4 -0.9774624984
"fBodyAccelerationSignal-mean()-X" "SITTING" 5 -0.977450812045455
"fBodyAccelerationSignal-mean()-X" "SITTING" 6 -0.975351454727273
"fBodyAccelerationSignal-mean()-X" "SITTING" 7 -0.972697126875
"fBodyAccelerationSignal-mean()-X" "SITTING" 8 -0.981142909782609
"fBodyAccelerationSignal-mean()-X" "SITTING" 9 -0.959413594
"fBodyAccelerationSignal-mean()-X" "SITTING" 10 -0.984943144259259
"fBodyAccelerationSignal-mean()-X" "SITTING" 11 -0.981481454339623
"fBodyAccelerationSignal-mean()-X" "SITTING" 12 -0.97966614372549
"fBodyAccelerationSignal-mean()-X" "SITTING" 13 -0.990135477755102
"fBodyAccelerationSignal-mean()-X" "SITTING" 14 -0.976456609259259
"fBodyAccelerationSignal-mean()-X" "SITTING" 15 -0.986619609491525
"fBodyAccelerationSignal-mean()-X" "SITTING" 16 -0.987043828985507
